PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PTS/GAME
76001,1990-91,00,1610612757,POR,23.0,43,0,290,55,116,0.474,0,0,0.0,25,44,0.568,27,62,89,12,4,12,22,39,135,3.14
76001,1991-92,00,1610612757,POR,24.0,71,1,934,178,361,0.493,0,0,0.0,76,101,0.752,81,179,260,30,25,16,66,132,432,6.08
76001,1992-93,00,1610612749,MIL,25.0,12,0,159,26,56,0.464,0,1,0.0,12,16,0.75,12,25,37,10,6,4,13,24,64,5.33
76001,1992-93,00,1610612738,BOS,25.0,63,52,1152,219,417,0.525,0,0,0.0,76,100,0.76,114,186,300,17,19,22,84,165,514,8.16
76001,1992-93,00,0,TOT,25.0,75,52,1311,245,473,0.518,0,1,0.0,88,116,0.759,126,211,337,27,25,26,97,189,578,7.71
76001,1993-94,00,1610612738,BOS,26.0,13,0,159,24,55,0.436,0,0,0.0,16,25,0.64,12,34,46,3,2,3,17,20,64,4.92
76001,1994-95,00,1610612758,SAC,27.0,51,0,476,117,220,0.532,0,2,0.0,20,35,0.571,34,72,106,13,15,12,40,102,254,4.98
76001,1994-95,00,1610612755,PHL,27.0,3,0,30,1,11,0.091,0,0,0.0,0,0,0.0,3,5,8,0,0,0,5,2,2,0.67
76001,1994-95,00,0,TOT,27.0,54,0,506,118,231,0.511,0,2,0.0,20,35,0.571,37,77,114,13,15,12,45,104,256,4.74
76002,1968-69,00,1610612749,MIL,23.0,29,None,837,126,347,0.363,None,None,None,68,106,0.642,None,None,378,33,None,None,None,98,320,11.03
76002,1968-69,00,1610612758,CIN,23.0,20,None,108,18,43,0.419,None,None,None,2,7,0.286,None,None,31,4,None,None,None,17,38,1.9
76002,1968-69,00,0,TOT,23.0,49,None,945,144,390,0.369,None,None,None,70,113,0.619,None,None,409,37,None,None,None,115,358,7.31
76002,1969-70,00,1610612749,MIL,24.0,80,None,1637,237,546,0.434,None,None,None,119,185,0.643,None,None,603,62,None,None,None,167,593,7.41
76002,1970-71,00,1610612760,SEA,25.0,61,None,1276,263,597,0.441,None,None,None,139,188,0.739,None,None,468,42,None,None,None,118,665,10.9
76002,1971-72,00,1610612760,SEA,26.0,58,None,1780,322,751,0.429,None,None,None,154,214,0.72,None,None,654,124,None,None,None,178,798,13.76
76002,1972-73,00,1610612745,HOU,27.0,48,None,900,149,375,0.397,None,None,None,119,162,0.735,None,None,304,53,None,None,None,108,417,8.69
76002,1973-74,00,1610612745,HOU,28.0,79,None,2459,336,732,0.459,None,None,None,193,240,0.804,259,664,923,166,80,104,None,227,865,10.95
76002,1974-75,00,1610612745,HOU,29.0,65,None,1450,235,538,0.437,None,None,None,159,203,0.783,154,334,488,84,37,74,None,128,629,9.68
76002,1975-76,00,1610612760,SEA,30.0,27,None,223,35,75,0.467,None,None,None,16,29,0.552,30,46,76,16,8,15,None,29,86,3.19
76002,1976-77,00,1610612746,BUF,31.0,22,None,195,25,74,0.338,None,None,None,33,43,0.767,41,49,90,7,3,9,None,21,83,3.77
76002,1977-78,00,1610612745,HOU,32.0,14,None,134,20,47,0.426,None,None,None,15,20,0.75,13,22,35,7,2,2,8,25,55,3.93
76002,1977-78,00,1610612738,BOS,32.0,2,None,24,3,13,0.231,None,None,None,2,3,0.667,6,9,15,3,1,1,3,4,8,4.0
76002,1977-78,00,0,TOT,32.0,16,None,158,23,60,0.383,None,None,None,17,23,0.739,19,31,50,10,3,3,11,29,63,3.94
76003,1969-70,00,1610612749,MIL,23.0,82,0,3534,938,1810,0.518,None,None,None,485,743,0.653,None,None,1190,337,None,None,None,283,2361,28.79
76003,1970-71,00,1610612749,MIL,24.0,82,82,3288,1063,1843,0.577,None,None,None,470,681,0.69,None,None,1311,272,None,None,None,264,2596,31.66
76003,1971-72,00,1610612749,MIL,25.0,81,81,3583,1159,2019,0.574,None,None,None,504,732,0.689,None,None,1346,370,None,None,None,235,2822,34.84
76003,1972-73,00,1610612749,MIL,26.0,76,76,3254,982,1772,0.554,None,None,None,328,460,0.713,None,None,1224,379,None,None,None,208,2292,30.16
76003,1973-74,00,1610612749,MIL,27.0,81,81,3548,948,1759,0.539,None,None,None,295,420,0.702,287,891,1178,386,112,283,None,238,2191,27.05
76003,1974-75,00,1610612749,MIL,28.0,65,64,2747,812,1584,0.513,None,None,None,325,426,0.763,194,718,912,264,65,212,None,205,1949,29.98
76003,1975-76,00,1610612747,LAL,29.0,82,82,3379,914,1728,0.529,None,None,None,447,636,0.703,272,1111,1383,413,119,338,None,292,2275,27.74
76003,1976-77,00,1610612747,LAL,30.0,82,82,3016,888,1533,0.579,None,None,None,376,536,0.701,266,824,1090,319,101,261,None,262,2152,26.24
76003,1977-78,00,1610612747,LAL,31.0,62,62,2265,663,1205,0.55,None,None,None,274,350,0.783,186,615,801,269,103,185,208,182,1600,25.81
76003,1978-79,00,1610612747,LAL,32.0,80,80,3157,777,1347,0.577,None,None,None,349,474,0.736,207,818,1025,431,76,316,282,230,1903,23.79
76003,1979-80,00,1610612747,LAL,33.0,82,81,3143,835,1383,0.604,0,1,0.0,364,476,0.765,190,696,886,371,81,280,297,216,2034,24.8
76003,1980-81,00,1610612747,LAL,34.0,80,80,2976,836,1457,0.574,0,1,0.0,423,552,0.766,197,624,821,272,59,228,249,244,2095,26.19
76003,1981-82,00,1610612747,LAL,35.0,76,76,2677,753,1301,0.579,0,3,0.0,312,442,0.706,172,487,659,225,63,207,230,224,1818,23.92
76003,1982-83,00,1610612747,LAL,36.0,79,79,2554,722,1228,0.588,0,2,0.0,278,371,0.749,167,425,592,200,61,170,200,220,1722,21.8
76003,1983-84,00,1610612747,LAL,37.0,80,80,2622,716,1238,0.578,0,1,0.0,285,394,0.723,169,418,587,211,55,143,221,211,1717,21.46
76003,1984-85,00,1610612747,LAL,38.0,79,79,2630,723,1207,0.599,0,1,0.0,289,395,0.732,162,460,622,249,63,162,197,238,1735,21.96
76003,1985-86,00,1610612747,LAL,39.0,79,79,2629,755,1338,0.564,0,2,0.0,336,439,0.765,133,345,478,280,67,130,203,248,1846,23.37
76003,1986-87,00,1610612747,LAL,40.0,78,78,2441,560,993,0.564,1,3,0.333,245,343,0.714,152,371,523,203,49,97,186,245,1366,17.51
76003,1987-88,00,1610612747,LAL,41.0,80,80,2308,480,903,0.532,0,1,0.0,205,269,0.762,118,360,478,135,48,92,159,216,1165,14.56
76003,1988-89,00,1610612747,LAL,42.0,74,74,1695,313,659,0.475,0,3,0.0,122,165,0.739,103,231,334,74,38,85,95,196,748,10.11
51,1990-91,00,1610612743,DEN,22.0,67,19,1505,417,1009,0.413,24,100,0.24,84,98,0.857,34,87,121,206,55,4,110,149,942,14.06
51,1991-92,00,1610612743,DEN,23.0,81,11,1538,356,845,0.421,31,94,0.33,94,108,0.87,22,92,114,192,44,4,117,130,837,10.33
51,1992-93,00,1610612743,DEN,24.0,81,81,2710,633,1407,0.45,70,197,0.355,217,232,0.935,51,174,225,344,84,8,187,179,1553,19.17
51,1993-94,00,1610612743,DEN,25.0,80,78,2617,588,1279,0.46,42,133,0.316,219,229,0.956,27,141,168,362,82,10,151,150,1437,17.96
51,1994-95,00,1610612743,DEN,26.0,73,43,2082,472,1005,0.47,83,215,0.386,138,156,0.885,32,105,137,263,77,9,119,126,1165,15.96
51,1995-96,00,1610612743,DEN,27.0,57,53,2029,414,955,0.434,121,309,0.392,146,157,0.93,26,112,138,389,64,3,115,117,1095,19.21
51,1996-97,00,1610612758,SAC,28.0,75,51,2131,411,924,0.445,94,246,0.382,115,136,0.846,16,106,122,189,56,6,119,174,1031,13.75
51,1997-98,00,1610612758,SAC,29.0,31,0,530,103,273,0.377,5,31,0.161,16,16,1.0,6,31,37,58,16,1,19,31,227,7.32
51,2000-01,00,1610612763,VAN,32.0,41,0,486,120,246,0.488,4,14,0.286,22,29,0.759,5,20,25,76,9,1,26,50,266,6.49
1505,1997-98,00,1610612758,SAC,23.0,59,16,959,144,357,0.403,4,19,0.211,84,125,0.672,44,72,116,51,35,13,65,81,376,6.37
1505,1998-99,00,1610612758,SAC,24.0,49,49,1205,177,407,0.435,6,21,0.286,94,136,0.691,72,114,186,50,50,16,70,121,454,9.27
1505,1999-00,00,1610612753,ORL,25.0,46,46,1205,223,515,0.433,2,21,0.095,115,151,0.762,77,162,239,72,53,16,87,116,563,12.24
1505,1999-00,00,1610612743,DEN,25.0,15,10,373,51,131,0.389,1,2,0.5,31,42,0.738,24,28,52,26,6,12,19,31,134,8.93
1505,1999-00,00,0,TOT,25.0,61,56,1578,274,646,0.424,3,23,0.13,146,193,0.756,101,190,291,98,59,28,106,147,697,11.43
1505,2000-01,00,1610612743,DEN,26.0,29,12,420,43,111,0.387,4,10,0.4,21,36,0.583,14,45,59,22,14,13,34,54,111,3.83
1505,2001-02,00,1610612743,DEN,27.0,20,12,419,55,145,0.379,1,2,0.5,24,32,0.75,39,39,78,22,18,9,24,51,135,6.75
1505,2001-02,00,1610612742,DAL,27.0,4,0,24,0,2,0.0,0,0,0.0,0,1,0.0,2,4,6,2,2,1,3,5,0,0.0
1505,2001-02,00,0,TOT,27.0,24,12,442,55,147,0.374,1,2,0.5,24,33,0.727,41,43,84,24,20,10,27,56,135,5.62
1505,2002-03,00,1610612742,DAL,28.0,14,0,204,27,58,0.466,0,1,0.0,3,6,0.5,14,26,40,21,6,3,7,26,57,4.07
949,1996-97,00,1610612763,VAN,20.0,80,71,2804,550,1214,0.453,7,27,0.259,387,519,0.746,216,339,555,175,79,79,225,199,1494,18.68
949,1997-98,00,1610612763,VAN,21.0,82,82,2950,653,1347,0.485,21,51,0.412,502,640,0.784,227,354,581,213,89,76,257,201,1829,22.3
949,1998-99,00,1610612763,VAN,22.0,50,50,2021,386,893,0.432,11,36,0.306,369,439,0.841,114,260,374,172,69,55,186,137,1152,23.04
949,1999-00,00,1610612763,VAN,23.0,82,82,3223,594,1277,0.465,29,96,0.302,446,551,0.809,218,607,825,271,89,87,249,244,1663,20.28
949,2000-01,00,1610612763,VAN,24.0,81,81,3241,604,1280,0.472,12,64,0.188,443,531,0.834,175,560,735,250,90,77,231,238,1663,20.53
949,2001-02,00,1610612737,ATL,25.0,77,77,2978,598,1297,0.461,21,70,0.3,419,523,0.801,198,498,696,239,98,81,250,214,1636,21.25
949,2002-03,00,1610612737,ATL,26.0,81,81,3087,566,1183,0.478,21,60,0.35,455,541,0.841,175,502,677,242,87,38,212,240,1608,19.85
949,2003-04,00,1610612737,ATL,27.0,53,53,1955,383,790,0.485,5,23,0.217,294,334,0.88,141,354,495,127,44,19,131,147,1065,20.09
949,2003-04,00,1610612757,POR,27.0,32,3,729,118,264,0.447,4,11,0.364,79,95,0.832,48,96,144,47,24,18,53,75,319,9.97
949,2003-04,00,0,TOT,27.0,85,56,2684,501,1054,0.475,9,34,0.265,373,429,0.869,189,450,639,174,68,37,184,222,1384,16.28
949,2004-05,00,1610612757,POR,28.0,54,49,1868,337,670,0.503,15,39,0.385,220,254,0.866,123,269,392,111,49,26,117,150,909,16.83
949,2005-06,00,1610612758,SAC,29.0,72,30,1961,332,632,0.525,5,22,0.227,218,278,0.784,106,251,357,149,48,42,108,227,887,12.32
949,2006-07,00,1610612758,SAC,30.0,80,45,2015,310,654,0.474,3,20,0.15,170,234,0.726,122,276,398,109,53,40,116,243,793,9.91
949,2007-08,00,1610612758,SAC,31.0,6,0,51,3,14,0.214,0,0,0.0,4,4,1.0,6,4,10,4,1,0,1,9,10,1.67
76005,1976-77,00,1610612747,LAL,23.0,70,0,1378,169,349,0.484,None,None,None,101,134,0.754,113,178,291,98,49,10,None,118,439,6.27
76005,1977-78,00,1610612747,LAL,24.0,73,3,1317,201,404,0.498,None,None,None,91,111,0.82,105,160,265,101,55,22,50,122,493,6.75
76005,1978-79,00,1610612744,GOS,25.0,70,25,1219,176,342,0.515,None,None,None,70,94,0.745,74,142,216,79,39,13,32,133,422,6.03
76005,1979-80,00,1610612744,GOS,26.0,67,12,1222,153,318,0.481,0,1,0.0,56,82,0.683,62,129,191,87,35,12,39,118,362,5.4
76005,1980-81,00,1610612744,GOS,27.0,10,0,39,1,3,0.333,0,0,0.0,2,3,0.667,1,7,8,1,1,0,2,5,4,0.4
76005,1980-81,00,1610612754,IND,27.0,29,0,259,24,56,0.429,0,1,0.0,11,19,0.579,19,21,40,18,6,3,6,29,59,2.03
76005,1980-81,00,0,TOT,27.0,39,0,298,25,59,0.424,0,1,0.0,13,22,0.591,20,28,48,19,7,3,8,34,63,1.62
76006,1956-57,00,1610612755,SYR,24.0,1,None,1,0,2,0.0,None,None,None,0,0,None,None,None,1,1,None,None,None,1,0,0.0
76007,1946-47,00,1610610031,PIT,28.0,47,None,None,202,834,0.242,None,None,None,123,178,0.691,None,None,None,35,None,None,None,161,527,11.21
76007,1947-48,00,1610610034,BOM,29.0,4,None,0,1,10,0.1,None,None,None,2,4,0.5,None,None,0,1,None,None,None,5,4,1.0
76007,1947-48,00,1610610024,BAL,29.0,5,None,0,0,11,0.0,None,None,None,2,3,0.667,None,None,0,1,None,None,None,5,2,0.4
76007,1947-48,00,0,TOT,29.0,9,None,None,1,21,0.048,None,None,None,4,7,0.571,None,None,None,2,None,None,None,10,6,0.67
203518,2016-17,00,1610612760,OKC,23.0,68,6,1055,134,341,0.393,94,247,0.381,44,49,0.898,18,68,86,40,37,8,33,114,406,5.97
203518,2017-18,00,1610612760,OKC,24.0,75,8,1134,115,291,0.395,84,221,0.38,39,46,0.848,26,88,114,28,38,8,25,124,353,4.71
203518,2018-19,00,1610612760,OKC,25.0,31,2,588,56,157,0.357,41,127,0.323,12,13,0.923,5,43,48,20,17,6,14,53,165,5.32
1630173,2020-21,00,1610612748,MIA,21.0,61,4,737,124,228,0.544,0,1,0.0,56,110,0.509,73,135,208,29,20,28,43,91,304,4.98
1630173,2021-22,00,1610612761,TOR,22.0,73,28,1725,265,603,0.439,56,156,0.359,78,131,0.595,146,327,473,82,37,41,84,151,664,9.1
1630173,2022-23,00,1610612761,TOR,23.0,55,12,1141,196,404,0.485,29,108,0.269,87,124,0.702,100,228,328,50,31,30,59,102,508,9.24
1630173,2023-24,00,1610612761,TOR,24.0,25,0,437,78,170,0.459,13,47,0.277,24,42,0.571,50,86,136,44,16,12,29,40,193,7.72
1630173,2023-24,00,1610612752,NYK,24.0,49,18,1187,157,299,0.525,13,50,0.26,45,70,0.643,141,210,351,53,30,56,54,103,372,7.59
1630173,2023-24,00,0,TOT,24.0,74,18,1624,235,469,0.501,26,97,0.268,69,112,0.616,191,296,487,97,46,68,83,143,565,7.64
1630173,2024-25,00,1610612752,NYK,25.0,57,10,1170,164,327,0.502,10,36,0.278,41,69,0.594,101,216,317,55,47,42,45,81,379,6.65
101165,2005-06,00,1610612765,DET,23.0,5,0,35,4,16,0.25,1,5,0.2,0,0,0.0,1,4,5,4,1,0,4,4,9,1.8
101165,2008-09,00,1610612765,DET,26.0,7,0,20,4,11,0.364,0,4,0.0,1,2,0.5,0,2,2,1,2,1,0,0,9,1.29
101165,2008-09,00,1610612746,LAC,26.0,18,0,179,26,65,0.4,7,16,0.438,4,8,0.5,8,14,22,11,3,3,7,9,63,3.5
101165,2008-09,00,0,TOT,26.0,25,0,200,30,76,0.395,7,20,0.35,5,10,0.5,8,16,24,12,5,4,7,9,72,2.88
76008,1953-54,00,1610612752,NYK,23.0,28,None,220,14,63,0.222,None,None,None,15,28,0.536,None,None,15,23,None,None,None,43,43,1.54
76009,1987-88,00,1610612738,BOS,25.0,79,5,1151,108,203,0.532,0,0,0.0,71,111,0.64,105,165,270,42,29,27,54,198,287,3.63
76009,1988-89,00,1610612738,BOS,26.0,62,0,632,55,114,0.482,1,1,1.0,26,48,0.542,59,87,146,19,19,6,23,94,137,2.21
76009,1989-90,00,1610612753,ORL,27.0,80,50,1691,138,285,0.484,3,4,0.75,83,120,0.692,154,277,431,67,36,25,70,248,362,4.53
76009,1990-91,00,1610612753,ORL,28.0,68,0,1313,109,214,0.509,1,3,0.333,66,101,0.653,140,219,359,25,25,25,42,218,285,4.19
76009,1991-92,00,1610612753,ORL,29.0,68,6,926,78,151,0.517,1,3,0.333,51,67,0.761,97,155,252,22,25,15,33,140,208,3.06
76009,1992-93,00,1610612745,HOU,30.0,6,0,23,2,9,0.222,1,2,0.5,1,2,0.5,2,4,6,0,0,0,2,2,6,1.0
76009,1992-93,00,1610612764,WAS,30.0,12,7,246,24,40,0.6,0,0,0.0,10,14,0.714,24,37,61,5,3,6,11,32,58,4.83
76009,1992-93,00,0,TOT,30.0,18,7,269,26,49,0.531,1,2,0.5,11,16,0.688,26,41,67,5,3,6,13,34,64,3.56
